title,total_word_count,percentage_complex_word,complex_word_count,AverageSentenceLenght,positive_score,negative_score,polarity_score
ai bot audio to audio,508,0.19881889763779528,101,20,0,0,0.0
recommendation engine for insurance sector to expand business in the rural area,638,0.24921630094043887,159,35,0,0,0.0
data from crm via zapier to google sheets dynamic to powerbi,372,0.21236559139784947,79,21,0,0,0.0
data warehouse to google data studio looker dashboard,419,0.2529832935560859,106,23,0,0,0.0
crm monday com via zapier to power bi dashboard,406,0.17980295566502463,73,17,0,0,0.0
monday com to kpi dashboard to manage view and generate insights from the crm data,482,0.1825726141078838,88,18,0,0,0.0
data management for a political saas application,1142,0.20052539404553416,229,19,0,0,0.0
google lsa ads google local service ads etl tools and dashboards,436,0.27522935779816515,120,26,0,0,0.0
ad networks marketing campaign data dashboard in looker google data studio,607,0.27347611202635913,166,67,0,0,0.0
analytical solution for a tech firm,372,0.20430107526881722,76,46,0,0,0.0
ai solution for a technology information and internet firm,323,0.24148606811145512,78,54,0,0,0.0
ai and nlp based solutions to automate data discovery for venture capital and private equity principals,687,0.16448326055312956,113,22,0,0,0.0
an etl solution for an internet publishing firm,564,0.1702127659574468,96,25,0,0,0.0
ai based algorithmic trading bot for forex,591,0.155668358714044,92,19,0,0,0.0
equity waterfalls model based saas application for real estate sector,434,0.2465437788018433,107,16,0,0,0.0
ai solutions for foreign exchange an automated algo trading tool,417,0.1606714628297362,67,30,0,0,0.0
ai agent development and deployment in jina ai,238,0.22268907563025211,53,34,0,0,0.0
golden record a knowledge graph database approach to unfold discovery using neo4j,488,0.1557377049180328,76,24,0,0,0.0
advanced ai for trading automation,402,0.18159203980099503,73,18,0,0,0.0
create a knowledge graph to provide real time analytics recommendations and a single source of truth,218,0.24770642201834864,54,22,0,0,0.0
advanced ai for thermal person detection,131,0.25190839694656486,33,26,0,0,0.0
advanced ai for road cam threat detection,187,0.25133689839572193,47,21,0,0,0.0
advanced ai for pedestrian crossing safety,214,0.2383177570093458,51,27,0,0,0.0
handgun detection using yolo,145,0.2620689655172414,38,29,0,0,0.0
using graph technology to create single customer view,224,0.28125,63,19,0,0,0.0
car detection in satellite images,402,0.1865671641791045,75,21,0,0,0.0
building a physics informed neural network for circuit evaluation,440,0.22954545454545455,101,21,0,0,0.0
connecting mongodb database to power bi dashboard dashboard automation,471,0.23354564755838642,110,24,0,0,0.0
data transformation,513,0.15789473684210525,81,21,0,0,0.0
e commerce store analysis purchase behavior ad spend conversion traffic etc,406,0.30049261083743845,122,21,0,0,0.0
kpi dashboard for accountants,338,0.24260355029585798,82,28,0,0,0.0
return on advertising spend dashboard marketing automation and analytics using etl and dashboard,848,0.2617924528301887,222,23,0,0,0.0
ranking customer behaviours for business strategy,451,0.17073170731707318,77,35,0,0,0.0
algorithmic trading for multiple commodities markets like forex metals energy etc,355,0.23098591549295774,82,21,0,0,0.0
trading bot for forex,228,0.12719298245614036,29,76,0,0,0.0
python model for the analysis of sector specific stock etfs for investment purposes%ef%bf%bc,431,0.20649651972157773,89,31,0,0,0.0
medical classification,402,0.236318407960199,95,29,0,0,0.0
design develop bert question answering model explanations with visualization,340,0.18529411764705883,63,31,0,0,0.0
design and develop solution to anomaly detection classification problems,283,0.2968197879858657,84,24,0,0,0.0
an etl solution for currency data to google big query,391,0.21739130434782608,85,24,0,0,0.0
etl and mlops infrastructure for blockchain analytics,522,0.20881226053639848,109,65,0,0,0.0
an agent based model of a virtual power plant vpp,474,0.20253164556962025,96,28,0,0,0.0
transform api into sdk library and widget,232,0.1853448275862069,43,58,0,0,0.0
integration of a product to a cloud based crm platform,306,0.1830065359477124,56,17,0,0,0.0
a web based dashboard for the filtered data retrieval of land records,297,0.2053872053872054,61,23,0,0,0.0
integration of video conferencing data to the existing web app,248,0.22580645161290322,56,31,0,0,0.0
design develop an app in retool which shows the progress of the added video,225,0.2,45,112,0,0,0.0
auvik connectwise integration in grafana,351,0.22792022792022792,80,21,0,0,0.0
data integration and big data performance using elk stack,441,0.2199546485260771,97,21,0,0,0.0
web data connector,452,0.19469026548672566,88,22,0,0,0.0
an app for updating the email id of the user and stripe refund tool using retool,288,0.2465277777777778,71,96,0,0,0.0
an ai ml based web application that detects the correctness of text in a given video,335,0.20597014925373133,69,112,0,0,0.0
website tracking and insights using google analytics google tag manager,1060,0.269811320754717,286,26,0,0,0.0
dashboard to track the analytics of the website using google analytics and google tag manager,1083,0.2594644506001847,281,25,0,0,0.0
power bi dashboard on operations transactions and marketing embedding the dashboard to web app,247,0.27530364372469635,68,27,0,0,0.0
nft data automation looksrare and etl tool,402,0.1865671641791045,75,24,0,0,0.0
optimize the data scraper program to easily accommodate large files and solve oom errors,234,0.20512820512820512,48,23,0,0,0.0
making a robust way to sync data from airtables to mongodb using python etl solution,372,0.17204301075268819,64,29,0,0,0.0
incident duration prediction infrastructure and real estate,236,0.2711864406779661,64,24,0,0,0.0
statistical data analysis of reinforced concrete,488,0.2581967213114754,126,33,0,0,0.0
database normalization segmentation with google data studio dashboard insights,240,0.26666666666666666,64,15,0,0,0.0
power bi dashboard to drive insights from complex data to generate business insights,354,0.1751412429378531,62,21,0,0,0.0
real time dashboard to monitor infrastructure activity and machines,257,0.2607003891050584,67,29,0,0,0.0
electric vehicles ev load management system to forecast energy demand,457,0.22975929978118162,105,30,0,0,0.0
power bi data driven map dashboard,238,0.19747899159663865,47,34,0,0,0.0
google local service ads lsa leads dashboard,956,0.20188284518828453,193,22,0,0,0.0
aws lex voice and chatbot,620,0.1532258064516129,95,21,0,0,0.0
metabridges api decentraland integration,300,0.2633333333333333,79,19,0,0,0.0
microsoft azure chatbot with luis language understanding,243,0.3045267489711934,74,40,0,0,0.0
impact of news media and press on innovation startups and investments,324,0.23148148148148148,75,16,0,0,0.0
aws quicksight reporting dashboard,506,0.19960474308300397,101,39,0,0,0.0
google data studio dashboard for marketing ads and traction data,530,0.21320754716981133,113,31,0,0,0.0
gangala in e commerce big data etl elt solution and data warehouse,381,0.1784776902887139,68,29,0,0,0.0
big data solution to an online multivendor marketplace ecommerce business,599,0.17028380634390652,102,60,0,0,0.0
creating a custom report and dashboard using the data got from atera api,203,0.2512315270935961,51,41,0,0,0.0
azure data lake and power bi dashboard,316,0.34810126582278483,110,29,0,0,0.0
google data studio pipeline with gcp mysql,706,0.2096317280453258,148,34,0,0,0.0
quickbooks dashboard to find patterns in finance sales and forecasts,1305,0.27586206896551724,360,30,0,0,0.0
marketing sales and financial data business dashboard wink report,684,0.27631578947368424,189,31,0,0,0.0
react native apps in the development portfolio,112,0.21428571428571427,24,112,0,0,0.0
a leading firm website seo optimization,114,0.4298245614035088,49,16,0,0,0.0
a leading hospitality firm in the usa website seo optimization,130,0.2230769230769231,29,22,0,0,0.0
a leading firm in the usa website seo optimization,138,0.2536231884057971,35,34,0,0,0.0
a leading musical instrumental website seo optimization,87,0.3793103448275862,33,12,0,0,0.0
a leading firm in the usa seo and website optimization,88,0.4090909090909091,36,15,0,0,0.0
immigration datawarehouse ai based recommendations,697,0.2065997130559541,144,33,0,0,0.0
lipsync automation for celebrities and influencers,191,0.24083769633507854,46,27,0,0,0.0
key audit matters predictive modeling,553,0.22965641952983726,127,29,0,0,0.0
splitting of songs into its vocals and instrumental,245,0.20408163265306123,50,24,0,0,0.0
ai and ml technologies to evaluate learning assessments,434,0.24193548387096775,105,21,0,0,0.0
datawarehouse and recommendations engine for airbnb,464,0.16810344827586207,78,27,0,0,0.0
real estate data warehouse,364,0.20604395604395603,75,24,0,0,0.0
traction dashboards of marketing campaigns and posts,3,0.0,0,3,0,0,0.0
google local service ads lsa data warehouse,240,0.24166666666666667,58,34,0,0,0.0
google local service ads missed calls and messages automation tool,257,0.1828793774319066,47,51,0,0,0.0
marketing ads leads call status data tool to bigquery,212,0.2783018867924528,59,35,0,0,0.0
marketing analytics to automate leads call status and reporting,220,0.25,55,37,0,0,0.0
callrail analytics leads report alert,245,0.23265306122448978,57,22,0,0,0.0
marketing automation tool to notify lead details to clients over email and phone,260,0.19615384615384615,51,52,0,0,0.0
data etl local service ads leads to bigquery,245,0.23673469387755103,58,35,0,0,0.0
marbles stimulation using python,442,0.19683257918552036,87,26,0,0,0.0
stocktwits data structurization,912,0.17653508771929824,161,19,0,0,0.0
sentimental analysis on shareholder letter of companies,572,0.3146853146853147,180,25,0,0,0.0
population and community survey of america,919,0.21871599564744287,201,26,0,0,0.0
google lsa api data automation and dashboarding,1375,0.23781818181818182,327,21,0,0,0.0
healthcare data analysis,419,0.1766109785202864,74,30,0,0,0.0
budget sales kpi dashboard using power bi,106,0.19811320754716982,21,106,0,0,0.0
amazon buy bot an automation ai tool to auto checkouts,125,0.2,25,18,0,0,0.0
